LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESE SIMP.,
STR_DF_NAME,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,
STR_DF_TOOLTIP,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,Dabs Framework,
STR_DF_AUTHOR,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,
STR_DF_DESCRIPTION,"Dabs Framework is an Open Source, lightweight modding framework, designed to give modders and server owners tools to quickly and effectively create new mods for the community.","Dabs Framework is an Open Source, lightweight modding framework, designed to give modders and server owners tools to quickly and effectively create new mods for the community.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STR_DF_NONE,None,None,,,,,,,,,,,,,
STR_DF_OK,OK,OK,,,,,,,,,,,,,
STR_DF_CANCEL,Cancel,Cancel,,,,,,,,,,,,,
STR_DF_ABORT,Abort,Abort,,,,,,,,,,,,,
STR_DF_RETRY,Retry,Retry,,,,,,,,,,,,,
STR_DF_IGNORE,Ignore,Ignore,,,,,,,,,,,,,
STR_DF_YES,Yes,Yes,,,,,,,,,,,,,
STR_DF_NO,No,No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STR_LOG_TRACE,TRACE,TRACE,,,,,,,,,,,,,
STR_LOG_DEBUG,DEBUG,DEBUG,,,,,,,,,,,,,
STR_LOG_MESSAGE,MESSAGE,MESSAGE,,,,,,,,,,,,,
STR_LOG_WARNING,WARNING,WARNING,,,,,,,,,,,,,
STR_LOG_ERROR,ERROR,ERROR,,,,,,,,,,,,,
STR_LOG_NONE,NONE,NONE,,,,,,,,,,,,,
